hotel_id,name,star,score,review_count,address,scraped_at
113981079,三江轻居假日酒店(宜宾学院江北校区五粮液路店),2,4.1,688,祥和街敬业路大厦1楼,2026-09-14 09:06:08
896484,宜宾绿园主题酒店(合江门大观楼店),2,4.3,444,东街141号药业大楼,2026-09-14 09:06:08
70158620,三江锐思酒店(智能终端产业园店),3,4.6,486,临港经开区港园大道西段9号中国西南机械装备贸易城B3幢4层1号,2026-09-14 09:06:08
110056005,晚遇民宿,0,4.2,22,公馆贰号二栋14层6号,2026-09-14 09:06:08
99965069,季朵便捷酒店(宜宾临港装备城智能终端产业基地店),2,4.3,147,临港经开区港园大道西段9号中国西南机械装备贸易城A3幢1单元,2026-09-14 09:06:08
47440695,宜宾宜著酒店(国际会展中心店),4,4.6,535,国兴大道沙坪路9号产业总部基地科创大楼B座1层、3层、17-22层,2026-09-14 09:06:08
134438135,半江晴民宿(国际会议中心店),0,4.7,3,僰侯庙路一段1号长江阁A座1013号,2026-09-14 09:06:08
131766052,安逸星光酒店(宜宾天光星城店),3,4.7,110,G353高光商务中心东约50米处,2026-09-14 09:06:08
114401440,尚庭轻居酒店(翠屏区政务中心店),3,4.6,508,盛达街Hai未来广场53幢13楼,2026-09-14 09:06:08
88520778,宜宾小确幸自助民宿,2,4.4,62,护国路恒旭铜雀台6幢2单元13楼1号,2026-09-14 09:06:08
1965489,宜宾港都酒店(大观楼店),2,4.0,149,西郊路17号,2026-09-14 09:06:08
134295594,范晓曦休闲民宿,0,4.8,2,南丝绸路25号公馆贰号2栋1409,2026-09-14 09:06:08
128312277,宿栖民宿,2,4.7,13,荔枝路1号星未来2号楼2层219号,2026-09-14 09:06:08
60066215,尚客优酒店(宜宾大学城店),2,4.6,206,临港区飞云路70号港腾国际汽车城综合楼,2026-09-14 09:06:08
28757077,宜宾国际会展中心酒店,2,4.3,162,沙坪路与梨湾路交汇处会展中心旁,2026-09-14 09:06:08
39344077,宜宾凡尘雅居民宿,2,4.3,79,龙头山路199号临港新天地3栋11楼1号,2026-09-14 09:06:08
125363360,玖玥民宿(星未来店),2,4.0,69,荔枝路1号星未来第4号楼5层5-13号,2026-09-14 09:06:08
1315609,凯和心悦酒店(宜宾雪滩公园店),2,4.4,202,长江大道西段31号1幢2层,2026-09-14 09:06:08
75132246,宜宾涵晨民宿(临港装备城店),2,3.8,105,港园大道西段9号西南机械装备贸易城3幢1单元2层1号,2026-09-14 09:06:08
133204877,雅筑晓院民宿(宜宾万达店),2,4.4,51,南岸街道航天路南段10号2幢1层1号,2026-09-14 09:06:08
102861020,沐屿民宿(宜宾高铁西站店),2,4.4,75,清溪路西区公馆贰号3栋3楼,2026-09-14 09:06:08
124574147,宜宾叁柚自助民宿,2,4.7,25,护国路79号铜雀台2幢10层1001号,2026-09-14 09:06:08
126579814,知意酒店(宜宾站西站店),2,4.6,58,荔枝路1号星未来2号楼11层,2026-09-14 09:06:08
72971867,宜宾梨木酒店(长江公园水幕广场三江口CBD店),3,4.8,119,航天路中段6号,2026-09-14 09:06:08
106801173,城际公馆酒店(高铁西站店),2,4.5,240,金沙江南路东段高铁城际公馆2栋13楼,2026-09-14 09:06:08
122876134,宜宾兰停蓿·栖舍民宿,2,4.9,84,上坝村5组71号,2026-09-14 09:06:08
109641744,蜀南竹海禅驿归云居,5,4.6,274,竹海镇蜀南竹海迎风湾广场,2026-09-14 09:06:08
121985425,城市徒步民宿(李庄店),2,4.6,280,李庄镇一品江南11幢3层1号,2026-09-14 09:06:08
115631419,季春枫酒店(临港新天地大学城店),2,4.6,359,护国路龙顺花园小区西北侧约270米,2026-09-14 09:06:08
114677682,悦漫商务酒店(宜宾高铁西站店),2,4.3,56,赵场街道南岸西区吉祥名都小区24栋1层,2026-09-14 09:06:08
